command,entity,field,metric,perftype,tsidxnamespace
average,hostsystem,"p_average_mem_totalCapacity_megaBytes","average_mem_totalCapacity_megaBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_unreserved_kiloBytes","average_mem_unreserved_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_usage_percent","average_mem_usage_percent",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_vmmemctl_kiloBytes","average_mem_vmmemctl_kiloBytes",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_mem_zero_kiloBytes","average_mem_zero_kiloBytes",mem,"vmw_perf_mem_hostsystem"
latest,hostsystem,"p_latest_mem_state_number","latest_mem_state_number",mem,"vmw_perf_mem_hostsystem"
average,hostsystem,"p_average_disk_read_kiloBytesPerSecond","average_disk_read_kiloBytesPerSecond",disk,"vmw_perf_disk_hostsystem"
average,hostsystem,"p_average_disk_usage_kiloBytesPerSecond","average_disk_usage_kiloBytesPerSecond",disk,"vmw_perf_disk_hostsystem"
average,hostsystem,"p_average_disk_write_kiloBytesPerSecond","average_disk_write_kiloBytesPerSecond",disk,"vmw_perf_disk_hostsystem"
latest,hostsystem,"p_latest_disk_maxTotalLatency_millisecond","latest_disk_maxTotalLatency_millisecond",disk,"vmw_perf_disk_hostsystem"
latest,hostsystem,"p_latest_datastore_maxTotalLatency_millisecond","latest_datastore_maxTotalLatency_millisecond",datastore,"vmw_perf_datastore_hostsystem"
average,hostsystem,"p_average_power_power_watt","average_power_power_watt",power,"vmw_perf_power_hostsystem"
average,hostsystem,"p_average_power_powerCap_watt","average_power_powerCap_watt",power,"vmw_perf_power_hostsystem"
summation,hostsystem,"p_summation_power_energy_joule","summation_power_energy_joule",power,"vmw_perf_power_hostsystem"
average,hostsystem,"p_average_net_bytesRx_kiloBytesPerSecond","average_net_bytesRx_kiloBytesPerSecond",net,"vmw_perf_net_hostsystem"
average,hostsystem,"p_average_net_bytesTx_kiloBytesPerSecond","average_net_bytesTx_kiloBytesPerSecond",net,"vmw_perf_net_hostsystem"
average,hostsystem,"p_average_net_received_kiloBytesPerSecond","average_net_received_kiloBytesPerSecond",net,"vmw_perf_net_hostsystem"
average,hostsystem,"p_average_net_transmitted_kiloBytesPerSecond","average_net_transmitted_kiloBytesPerSecond",net,"vmw_perf_net_hostsystem"
average,hostsystem,"p_average_net_usage_kiloBytesPerSecond","average_net_usage_kiloBytesPerSecond",net,"vmw_perf_net_hostsystem"
summation,hostsystem,"p_summation_net_broadcastRx_number","summation_net_broadcastRx_number",net,"vmw_perf_net_hostsystem"
summation,hostsystem,"p_summation_net_broadcastTx_number","summation_net_broadcastTx_number",net,"vmw_perf_net_hostsystem"
summation,hostsystem,"p_summation_net_droppedRx_number","summation_net_droppedRx_number",net,"vmw_perf_net_hostsystem"
summation,hostsystem,"p_summation_net_droppedTx_number","summation_net_droppedTx_number",net,"vmw_perf_net_hostsystem"
summation,hostsystem,"p_summation_net_errorsRx_number","summation_net_errorsRx_number",net,"vmw_perf_net_hostsystem"
summation,hostsystem,"p_summation_net_errorsTx_number","summation_net_errorsTx_number",net,"vmw_perf_net_hostsystem"
summation,hostsystem,"p_summation_net_multicastRx_number","summation_net_multicastRx_number",net,"vmw_perf_net_hostsystem"
summation,hostsystem,"p_summation_net_multicastTx_number","summation_net_multicastTx_number",net,"vmw_perf_net_hostsystem"
summation,hostsystem,"p_summation_net_packetsRx_number","summation_net_packetsRx_number",net,"vmw_perf_net_hostsystem"
summation,hostsystem,"p_summation_net_packetsTx_number","summation_net_packetsTx_number",net,"vmw_perf_net_hostsystem"
summation,hostsystem,"p_summation_net_unknownProtos_number","summation_net_unknownProtos_number",net,"vmw_perf_net_hostsystem"
thruput,hostsystem,"p_thruput",thruput,net,"vmw_perf_net_hostsystem"
latest,hostsystem,"p_latest_rescpu_actav15_percent","latest_rescpu_actav15_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_actav1_percent","latest_rescpu_actav1_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_actav5_percent","latest_rescpu_actav5_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_actpk15_percent","latest_rescpu_actpk15_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_actpk1_percent","latest_rescpu_actpk1_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_actpk5_percent","latest_rescpu_actpk5_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_maxLimited15_percent","latest_rescpu_maxLimited15_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_maxLimited1_percent","latest_rescpu_maxLimited1_percent",rescpu,"vmw_perf_rescpu_hostsystem"
latest,hostsystem,"p_latest_rescpu_maxLimited5_percent","latest_rescpu_maxLimited5_percent",rescpu,"vmw_perf_rescpu_hostsystem"
